Time [s],Value,Parity Error,Framing Error
0.085112500000000,0x7E,,
0.085685375000000,0x82,,
0.086258375000000,0x7D,,
0.086831375000000,0x5D,,
0.087404375000000,0x7E,,
0.840121250000000,0x7E,,
0.840694250000000,0x81,,
0.841267250000000,0x7D,,
0.841840250000000,0x5E,,
0.842413125000000,0x7E,,
0.844081250000000,0x7E,,
0.844718250000000,0x01,,
0.845358625000000,0x4C,,
0.845997375000000,0x4D,,
0.846634375000000,0x01,,
0.847274625000000,0x56,,
0.847911625000000,0x31,,
0.848552000000000,0x35,,
0.849189000000000,0xAC,,
0.849845500000000,0x7E,,
0.850724500000000,0x7E,,
0.851297500000000,0x91,,
0.851870500000000,0x24,,
0.852443375000000,0x12,,
0.853016375000000,0x58,,
0.853589375000000,0x7E,,
0.854436750000000,0x7E,,
0.855073625000000,0x11,,
0.855733500000000,0x7E,,
1.066247875000000,0x7E,,
1.066820750000000,0xA1,,
1.067393750000000,0x24,,
1.067966750000000,0x90,,
1.068539750000000,0x00,,
1.069112625000000,0x00,,
1.069685750000000,0x00,,
1.070258625000000,0x00,,
1.070831625000000,0x00,,
1.071404625000000,0x90,,
1.071977625000000,0x00,,
1.072550500000000,0x00,,
1.073123500000000,0x00,,
1.073696500000000,0x00,,
1.074269375000000,0x00,,
1.074842500000000,0x90,,
1.075415375000000,0x00,,
1.075988375000000,0x00,,
1.076561375000000,0x00,,
1.077134375000000,0x00,,
1.077707250000000,0x00,,
1.078280375000000,0x90,,
1.078853250000000,0x00,,
1.079426250000000,0x00,,
1.079999125000000,0x00,,
1.080572250000000,0x00,,
1.081145125000000,0x00,,
1.081718125000000,0x90,,
1.082291125000000,0x00,,
1.082864125000000,0x00,,
1.083437000000000,0x00,,
1.084010000000000,0x00,,
1.084583000000000,0x00,,
1.085156000000000,0xEA,,
1.085729000000000,0x7E,,
1.096765375000000,0x7E,,
1.097404000000000,0x21,,
1.098153250000000,0x7E,,
1.099513000000000,0x7E,,
1.100086000000000,0xA1,,
1.100658875000000,0x23,,
1.101231875000000,0x90,,
1.101804875000000,0x00,,
1.102377750000000,0x00,,
1.102950750000000,0x00,,
1.103523750000000,0x00,,
1.104096750000000,0x00,,
1.104669750000000,0x90,,
1.105242625000000,0x00,,
1.105815625000000,0x00,,
1.106388625000000,0x00,,
1.106961625000000,0x00,,
1.107534625000000,0x00,,
1.108107625000000,0x90,,
1.108680500000000,0x00,,
1.109253500000000,0x00,,
1.109826500000000,0x00,,
1.110399500000000,0x00,,
1.110972500000000,0x00,,
1.111545375000000,0x90,,
1.112118375000000,0x00,,
1.112691375000000,0x00,,
1.113264375000000,0x00,,
1.113837250000000,0x00,,
1.114410250000000,0x00,,
1.114983250000000,0x90,,
1.115556250000000,0x00,,
1.116129250000000,0x00,,
1.116702250000000,0x00,,
1.117275125000000,0x00,,
1.117848125000000,0x00,,
1.118421125000000,0xED,,
1.118994125000000,0x7E,,
1.130027250000000,0x7E,,
1.130662750000000,0x21,,
1.131322500000000,0x7E,,
1.132683625000000,0x7E,,
1.133256625000000,0xA1,,
1.133829500000000,0x22,,
1.134402500000000,0x90,,
1.134975500000000,0x00,,
1.135548500000000,0x00,,
1.136121500000000,0x00,,
1.136694500000000,0x00,,
1.137267500000000,0x00,,
1.137840375000000,0x90,,
1.138413375000000,0x00,,
1.138986375000000,0x00,,
1.139559375000000,0x00,,
1.140132250000000,0x00,,
1.140705250000000,0x00,,
1.141278250000000,0x90,,
1.141851250000000,0x00,,
1.142424250000000,0x00,,
1.142997125000000,0x00,,
1.143570125000000,0x00,,
1.144143125000000,0x00,,
1.144716125000000,0x90,,
1.145289125000000,0x00,,
1.145862125000000,0x00,,
1.146435125000000,0x00,,
1.147008000000000,0x00,,
1.147581000000000,0x00,,
1.148154000000000,0x90,,
1.148726875000000,0x00,,
1.149299875000000,0x00,,
1.149872875000000,0x00,,
1.150445875000000,0x00,,
1.151018750000000,0x00,,
1.151591750000000,0xEC,,
1.152164875000000,0x7E,,
1.163201250000000,0x7E,,
1.163840000000000,0x21,,
1.164496625000000,0x7E,,
1.165854375000000,0x7E,,
1.166427375000000,0xA1,,
1.167000250000000,0x21,,
1.167573250000000,0x90,,
1.168146250000000,0x00,,
1.168719250000000,0x00,,
1.169292125000000,0x00,,
1.169865250000000,0x00,,
1.170438250000000,0x00,,
1.171011125000000,0x90,,
1.171584125000000,0x00,,
1.172157125000000,0x00,,
1.172730000000000,0x00,,
1.173303000000000,0x00,,
1.173876000000000,0x00,,
1.174448875000000,0x90,,
1.175021875000000,0x00,,
1.175594875000000,0x00,,
1.176167875000000,0x00,,
1.176740875000000,0x00,,
1.177313875000000,0x00,,
1.177886750000000,0x90,,
1.178459750000000,0x00,,
1.179032750000000,0x00,,
1.179605750000000,0x00,,
1.180178750000000,0x00,,
1.180751750000000,0x00,,
1.181324625000000,0x90,,
1.181897625000000,0x00,,
1.182470625000000,0x00,,
1.183043625000000,0x00,,
1.183616500000000,0x00,,
1.184189500000000,0x00,,
1.184762500000000,0xEF,,
1.185335500000000,0x7E,,
1.196373750000000,0x7E,,
1.197014125000000,0x21,,
1.197670625000000,0x7E,,
1.199028375000000,0x7E,,
1.199601250000000,0xA1,,
1.200174250000000,0x20,,
1.200747250000000,0x90,,
1.201320250000000,0x00,,
1.201893125000000,0x00,,
